,timestamp,newopen,high,low,close,newvolume,Symbol,Name,Country,Sector,Industry,Address
261,2021-03-03,122.78,122.78,119.25,119.3,1612442,A,Agilent Technologies Inc,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US"
5877,2021-03-03,28.9,31.37,28.52,30.83,17570191,AA,Alcoa Corporation,USA,MANUFACTURING,PRIMARY PRODUCTION OF ALUMINUM,"201 ISABELLA STREET, SUITE 500, PITTSBURGH, PA, US"
7484,2021-03-03,21.87,22.59,21.73,22.17,49301252,AAL,American Airlines Group Inc,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US"
11629,2021-03-03,124.81,125.71,121.84,122.06,112966340,AAPL,Apple Inc,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US"
17258,2021-03-03,27.74,28.8,27.74,28.32,11386,ACNB,ACNB Corporation,USA,FINANCE,STATE COMMERCIAL BANKS,"16 LINCOLN SQUARE, P O BOX 3129, GETTYSBURG, PA, US"
22887,2021-03-03,102.63,103.43,97.275,97.73,130660,ADUS,Addus HomeCare Corporation,USA,LIFE SCIENCES,SERVICES-HOME HEALTH CARE SERVICES,"6801 GAYLORD PARKWAY, SUITE 110, FRISCO, TX, US"
26003,2021-03-03,7.35,7.4,7.02,7.3,4366430,AGI,Alamos Gold Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"181 BAY STREET, SUITE 3910, TORONTO, A6, CANADA"
29297,2021-03-03,1.36,1.39,1.32,1.32,1545146,ASM,Avino Silver & Gold Mines Ltd,USA,ENERGY & TRANSPORTATION,METAL MINING,"SUITE 900, 570 GRANVILLE STREET, VANCOUVER, BC, CANADA"
33403,2021-03-03,17.23,17.8,17.21,17.6,27979,BCML,BayCom Corp,USA,FINANCE,STATE COMMERCIAL BANKS,"500 YGNACIO VALLEY ROAD, SUITE 200, WALNUT CREEK, CA, US"
35784,2021-03-03,79.77,81.82,79.53,81.0,3786440,BHP,BHP Group,USA,ENERGY & TRANSPORTATION,METAL MINING,"16/171 COLLINS STREET, MELBOURNE, VICTORIA AUSTRALIA, AU"
41521,2021-03-03,52.78,53.475,52.48,53.25,2180021,CAH,Cardinal Health Inc,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","7000 CARDINAL PLACE, DUBLIN, OH, US"
47150,2021-03-03,8.64,8.74,8.33,8.67,5334874,CDE,Coeur Mining Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"104 SOUTH MICHIGAN AVENUE, SUITE 900, CHICAGO, IL, US"
52779,2021-03-03,13.35,13.56,12.8,13.29,281561,CMAX,CareMax Inc,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"780 THIRD AVENUE, 37TH FLOOR, NEW YORK, NY, US"
53153,2021-03-03,83.08,84.17,82.54,83.6,2964530,DELL,Dell Technologies Inc.,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE DELL WAY, ROUND ROCK, TX, US"
53966,2021-03-03,7.2,7.25,6.97,7.06,3020910,FSM,Fortuna Silver Mines Inc,USA,ENERGY & TRANSPORTATION,GOLD AND SILVER ORES,"200 BURRARD ST, SUITE 650, VANCOUVER, BC, CA"
57790,2021-03-03,19.49,20.0,19.3,19.79,12841,MYFW,First Western Financial Inc,USA,FINANCE,STATE COMMERCIAL BANKS,"1900 SIXTEENTH ST, #1200, DENVER, CO, US"
58711,2021-03-03,64.25,64.73,63.09,63.8,1495076,NTAP,NetApp Inc,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"3060 OLSEN DRIVE, SAN JOSE, CA, UNITED STATES"
64340,2021-03-03,8.96,9.415,8.9,8.95,425875,QMCO,Quantum Corporation,USA,TECHNOLOGY,COMPUTER STORAGE DEVICES,"224 AIRPORT PARKWAY, SUITE 550, SAN JOSE, CA, UNITED STATES"
